"Payment capturing error.":"Error tratando de realizar el pago."
"Refund capturing error.":"Error tratando de hacer el reembolso."
"Error: ":"Error: "
"Transaction declined":"Transacción rechazada"
"An error has ocurred calling curl":"Ha ocurrido un error en la llamada cURL"
"Enabled":"Habilitado"
"Title":"Título"
"Test Mode":"Modo Prueba"
"Merchant Key":"Identificador de la tienda"
"Api Key":"Clave Privada"
"Test Api Key":"Clave Privada para Pruebas"
"Sort Order":"Orden"
